จังหวัด,ภาค,province,Region,income,expense, รวมรายจ่าย ทั้งหมดของคนในครัวเรือน 
     กระบี่ , ภาคใต้ ,     Krabi , Southern Region ,31012,14562,174746
     กาญจนบุรี , ภาคกลาง ,     Kanchanaburi , Central Region ,18884,13259,159110
     กาฬสินธุ์ , ภาคตะวันออกเฉียงเหนือ ,     Kalasin , Northeastern Region ,15452,12101,145210
     กำแพงเพชร , ภาคเหนือ ,     Kamphaeng Phet , Northern Region ,20140,13925,167104
     ขอนแก่น , ภาคตะวันออกเฉียงเหนือ ,     Khon Kaen , Northeastern Region ,21337,12229,146749
     จันทบุรี , ภาคกลาง ,     Chanthaburi , Central Region ,36024,13957,167486
     ฉะเชิงเทรา , ภาคกลาง ,     Chachoengsao , Central Region ,27555,13853,166238
     ชลบุรี , ภาคกลาง ,     Chon Buri , Central Region ,27257,12219,146632
     ชัยนาท , ภาคกลาง ,     Chai Nat , Central Region ,22059,12281,147372
     ชัยภูมิ , ภาคตะวันออกเฉียงเหนือ ,     Chaiyaphum , Northeastern Region ,23830,10539,126468
     ชุมพร , ภาคใต้ ,     Chumphon , Southern Region ,29306,13156,157866
     เชียงราย , ภาคเหนือ ,     Chiang Rai , Northern Region ,13497,10496,125953
     เชียงใหม่ , ภาคเหนือ ,     Chiang Mai , Northern Region ,14950,11367,136399
     ตรัง , ภาคใต้ ,     Trang , Southern Region ,23309,11918,143015
     ตราด , ภาคกลาง ,     Trat , Central Region ,25333,12572,150866
     ตาก , ภาคเหนือ ,     Tak , Northern Region ,20079,9388,112651
     นครนายก , ภาคกลาง ,     Nakhon Nayok , Central Region ,23555,12604,151243
     นครปฐม , ภาคกลาง ,     Nakhon Pathom , Central Region ,40347,16158,193901
     นครพนม , ภาคตะวันออกเฉียงเหนือ ,     Nakhon Phanom , Northeastern Region ,15804,9536,114435
     นครราชสีมา , ภาคตะวันออกเฉียงเหนือ ,     Nakhon Ratchasima , Northeastern Region ,26376,12038,144457
     นครศรีธรรมราช , ภาคใต้ ,     Nakhon Si Thammarat , Southern Region ,25124,12214,146573
     นครสวรรค์ , ภาคเหนือ ,     Nakhon Sawan , Northern Region ,21952,13119,157430
     นนทบุรี , ตอนพิเศษ ,     Nonthaburi , Greater Bangkok ,36884,17892,214702
     นราธิวาส , ภาคใต้ ,     Narathiwat , Southern Region ,19890,11037,132438
     น่าน , ภาคเหนือ ,     Nan , Northern Region ,17886,11532,138388
     บึงกาฬ , ภาคตะวันออกเฉียงเหนือ ,     Bungkan , Northeastern Region ,23767,11271,135257
     บุรีรัมย์ , ภาคตะวันออกเฉียงเหนือ ,     Buri Ram , Northeastern Region ,18480,10799,129590
     ปทุมธานี , ตอนพิเศษ ,     Pathum Thani , Greater Bangkok ,41057,18040,216477
